SEQUENCE_GISAID_STRAIN,SEQUENCE_REPOSITORY,SEQUENCE_GISAID_ACCESSION,SEQUENCE_GENBANK_ACCESSION,SEQUENCE_SPECIMEN_COLLECTION_DATE,COUNTY_NAME
USA/WA-CDC-UW23020935989/2023,GISAID; GenBank,EPI_ISL_16999488,OQ472725.1,2023-02-09,King County
USA/WA-UW-23031893404/2023,GISAID; GenBank,EPI_ISL_17760210,OQ704071.1,2023-03-18,King County
USA/WA-PHL-032963/2023,GISAID; GenBank,EPI_ISL_17258789,PQ386151.1,2023-02-27,King County
USA/WA-CDC-UW23020980918/2023,GISAID; GenBank,EPI_ISL_16999496,OQ472733.1,2023-02-09,King County
USA/WA-CDC-UW23032760803/2023,GISAID; GenBank,EPI_ISL_17395709,OQ833479.1,2023-03-27,King County
USA/WA-CDC-UW23022355647/2023,GISAID; GenBank,EPI_ISL_17145772,OQ589320.1,2023-02-23,King County
USA/WA-CDC-UW23050264784/2023,GISAID; GenBank,EPI_ISL_17676410,OQ997275.1,2023-05-02,King County
USA/WA-UW-23031807611/2023,GISAID; GenBank,EPI_ISL_17760186,OQ704057.1,2023-03-18,King County
USA/WA-S24280/2023,GISAID; GenBank,EPI_ISL_18720225,PP082159.1,2023-09-13,King County
USA/WA-S24302/2023,GISAID; GenBank,EPI_ISL_18720247,PP082181.1,2023-09-16,King County
USA/WA-CDC-UW23050375728/2023,GISAID; GenBank,EPI_ISL_17676395,OQ997294.1,2023-05-03,King County
USA/WA-CDC-UW23050331700/2023,GISAID; GenBank,EPI_ISL_17676394,OQ997289.1,2023-05-03,King County
USA/WA-CDC-UW23022334579/2023,GISAID; GenBank,EPI_ISL_17145796,OQ589335.1,2023-02-23,King County
USA/WA-CDC-UW23022398779/2023,GISAID; GenBank,EPI_ISL_17145776,OQ589324.1,2023-02-23,King County
USA/WA-CDC-LC1021635/2023,GISAID; GenBank,EPI_ISL_17196773,OQ614105.1,2023-02-20,King County
USA/WA-CDC-UW23022314047/2023,GISAID; GenBank,EPI_ISL_17145793,OQ589338.1,2023-02-23,King County
USA/WA-CDC-UW23022374247/2023,GISAID; GenBank,EPI_ISL_17145774,OQ589319.1,2023-02-23,King County
USA/WA-UW-23031803155/2023,GISAID; GenBank,EPI_ISL_17760183,OQ704075.1,2023-03-18,King County
USA/WA-UW-23031828523/2023,GISAID; GenBank,EPI_ISL_17760190,OQ704125.1,2023-03-18,King County
USA/WA-CDC-UW23050353829/2023,GISAID; GenBank,EPI_ISL_17676393,OQ997290.1,2023-05-03,King County
USA/WA-UW-23031867784/2023,GISAID; GenBank,EPI_ISL_17760202,OQ704069.1,2023-03-18,King County
USA/WA-CDC-UW23032784168/2023,GISAID; GenBank,EPI_ISL_17395704,OQ833474.1,2023-03-27,King County
USA/WA-CDC-UW23050319858/2023,GISAID; GenBank,EPI_ISL_17676392,OQ997287.1,2023-05-03,King County
USA/WA-UW-23031936603/2023,GISAID; GenBank,EPI_ISL_17760215,OQ704039.1,2023-03-19,King County
USA/WA-UW-23031938037/2023,GISAID; GenBank,EPI_ISL_17760216,OQ704128.1,2023-03-19,King County
USA/WA-CDC-UW23022739922/2023,GISAID; GenBank,EPI_ISL_17145675,OQ589464.1,2023-02-27,King County
USA/WA-CDC-UW23022738492/2023,GISAID; GenBank,EPI_ISL_17145673,OQ589466.1,2023-02-27,King County
USA/WA-CDC-UW23022764517/2023,GISAID; GenBank,EPI_ISL_17145653,OQ589442.1,2023-02-27,King County
USA/WA-CDC-UW23022703080/2023,GISAID; GenBank,EPI_ISL_17145671,OQ589451.1,2023-02-27,King County
USA/WA-S22776/2023,GISAID; GenBank,EPI_ISL_17395139,OQ738344.1,2023-02-17,King County
USA/WA-CDC-UW23022745178/2023,GISAID; GenBank,EPI_ISL_17145666,OQ589452.1,2023-02-27,King County
USA/WA-S22770/2023,GISAID; GenBank,EPI_ISL_17395134,OQ738338.1,2023-02-16,King County
USA/WA-S22726/2023,GISAID; GenBank,EPI_ISL_17395091,OQ738302.1,2023-02-08,King County
USA/WA-UW-23021012938/2023,GISAID; GenBank,EPI_ISL_17578923,OQ503945.1,2023-02-10,King County
USA/WA-CDC-UW23022764333/2023,GISAID; GenBank,EPI_ISL_17145676,OQ589463.1,2023-02-27,King County
