SEQUENCE_GISAID_STRAIN,SEQUENCE_REPOSITORY,SEQUENCE_GISAID_ACCESSION,SEQUENCE_GENBANK_ACCESSION,SEQUENCE_SPECIMEN_COLLECTION_DATE,COUNTY_NAME
USA/WA-CDC-UW24021451842/2024,GISAID; GenBank,EPI_ISL_18942406,PP406978.1,2024-02-14,Clark County
USA/WA-CDC-LC1004654/2023,GISAID; GenBank,EPI_ISL_16915853,OQ431788.1,2023-01-24,Clark County
USA/WA-CDC-LC1103001/2024,GISAID; GenBank,EPI_ISL_19054150,PP663920.1,2024-03-29,Clark County
USA/WA-UW-23020203869/2023,GISAID; GenBank,EPI_ISL_17580144,OQ443037.1,2023-02-02,Clark County
USA/WA-CDC-LC1036464/2023,GISAID; GenBank,EPI_ISL_17524160,OQ852205.1,2023-04-06,Clark County
USA/WA-CDC-QDX45962590/2023,GISAID; GenBank,EPI_ISL_16892124,OQ419584.1,2023-01-23,Clark County
USA/WA-CDC-QDX92231927/2024,GISAID; GenBank,EPI_ISL_18920643,PP349407.1,2024-02-02,Clark County
USA/WA-S24655/2023,GISAID; GenBank,EPI_ISL_18879317,PP319576.1,2023-12-21,Clark County
USA/WA-S22667/2023,GISAID; GenBank,EPI_ISL_16483498,OQ232535.1,2023-01-02,Clark County
USA/WA-CDC-LC0994442/2023,GISAID; GenBank,EPI_ISL_16741791,OQ353167.1,2023-01-10,Clark County
USA/WA-CDC-LC1017738/2023,GISAID; GenBank,EPI_ISL_17224178,OQ631393.1,2023-02-16,Clark County
USA/WA-CDC-LC1008214/2023,GISAID; GenBank,EPI_ISL_16957547,OQ449807.1,2023-02-04,Clark County
USA/WA-S24437/2023,GISAID; GenBank,EPI_ISL_18720379,PP082314.1,2023-11-02,Clark County
USA/WA-UW-24021700637/2024,GISAID; GenBank,EPI_ISL_19138363,PP496927.1,2024-02-17,Clark County
USA/WA-CDC-QDX45789740/2023,GISAID; GenBank,EPI_ISL_16823684,OQ380098.1,2023-01-16,Clark County
USA/WA-S24254/2023,GISAID; GenBank,EPI_ISL_18720200,PP082133.1,2023-09-06,Clark County
USA/WA-S24371/2023,GISAID; GenBank,EPI_ISL_18720314,PP082249.1,2023-09-27,Clark County
USA/WA-CDC-QDX92473618/2024,GISAID; GenBank,EPI_ISL_18921150,PP374586.1,2024-02-06,Clark County
USA/WA-CDC-LC0994434/2023,GISAID; GenBank,EPI_ISL_16741789,OQ353165.1,2023-01-10,Clark County
USA/WA-S25129/2024,GISAID; GenBank,EPI_ISL_19032486,PP702498.1,2024-02-09,Clark County
USA/WA-CDC-QDX85770737/2023,GISAID; GenBank,EPI_ISL_18379492,OR662301.1,2023-09-27,Clark County
USA/WA-S24139/2023,GISAID; GenBank,EPI_ISL_18615675,OR948705.1,2023-09-06,Clark County
USA/WA-S24605/2023,GISAID; GenBank,EPI_ISL_18879270,PP319526.1,2023-12-08,Clark County
USA/WA-CDC-LC1004727/2023,GISAID; GenBank,EPI_ISL_16916374,OQ432233.1,2023-01-31,Clark County
USA/WA-CDC-LC0998426/2023,GISAID; GenBank,EPI_ISL_16762983,OQ364244.1,2023-01-19,Clark County
USA/WA-CDC-QDX85770739/2023,GISAID; GenBank,EPI_ISL_18379541,OR662350.1,2023-09-27,Clark County
USA/WA-CDC-QDX87530131/2023,GISAID; GenBank,EPI_ISL_18547980,OR858362.1,2023-11-08,Clark County
USA/WA-CDC-QDX84402804/2023,GISAID; GenBank,EPI_ISL_18375288,OR656023.1,2023-08-25,Clark County
USA/WA-CDC-LC0998498/2023,GISAID; GenBank,EPI_ISL_16762984,OQ364245.1,2023-01-19,Clark County
USA/WA-CDC-QDX47043345/2023,GISAID; GenBank,EPI_ISL_17147309,OQ583415.1,2023-02-19,Clark County
USA/WA-CDC-LC1008223/2023,GISAID; GenBank,EPI_ISL_16957605,OQ449865.1,2023-02-05,Clark County
USA/WA-CDC-LC0994878/2023,GISAID; GenBank,EPI_ISL_16742003,OQ353335.1,2023-01-13,Clark County
USA/WA-CDC-QDX81233085/2023,GISAID; GenBank,EPI_ISL_17856346,OR143486.1,2023-06-01,Clark County
USA/WA-CDC-QDX86279547/2023,GISAID; GenBank,EPI_ISL_18532508,OR813262.1,2023-10-10,Clark County
USA/WA-CDC-LC1004648/2023,GISAID; GenBank,EPI_ISL_16916364,OQ432223.1,2023-01-31,Clark County
USA/WA-CDC-QDX47312332/2023,GISAID; GenBank,EPI_ISL_17237681,OQ643261.1,2023-02-26,Clark County
USA/WA-CDC-QDX92473624/2024,GISAID; GenBank,EPI_ISL_18921165,PP374601.1,2024-02-07,Clark County
USA/WA-S24127/2023,GISAID; GenBank,EPI_ISL_18615663,OR948693.1,2023-09-03,Clark County
USA/WA-S24155/2023,GISAID; GenBank,EPI_ISL_18615690,OR948721.1,2023-09-30,Clark County
USA/WA-CDC-QDX85770754/2023,GISAID; GenBank,EPI_ISL_18379714,OR662523.1,2023-09-29,Clark County
USA/WA-S22955/2023,GISAID,EPI_ISL_17395312,,2023-01-06,Clark County
USA/WA-CDC-LC0993380/2023,GISAID; GenBank,EPI_ISL_16709904,OQ344900.1,2023-01-09,Clark County
USA/WA-CDC-LC0993388/2023,GISAID; GenBank,EPI_ISL_16709829,OQ344825.1,2023-01-07,Clark County
USA/WA-CDC-LC1007835/2023,GISAID; GenBank,EPI_ISL_16944773,OQ443525.1,2023-01-29,Clark County
USA/WA-CDC-QDX47312328/2023,GISAID; GenBank,EPI_ISL_17237671,OQ643251.1,2023-02-26,Clark County
USA/WA-CDC-LC0984292/2023,GISAID; GenBank,EPI_ISL_16669835,OQ258192.1,2023-01-02,Clark County
USA/WA-CDC-LC1024312/2023,GISAID; GenBank,EPI_ISL_17203384,OQ621243.1,2023-03-01,Clark County
USA/WA-S22679/2023,GISAID; GenBank,EPI_ISL_17395046,OQ738269.1,2023-01-10,Clark County
USA/WA-CDC-LC0995667/2023,GISAID; GenBank,EPI_ISL_16742126,OQ353458.1,2023-01-16,Clark County
USA/WA-CDC-QDX48902415/2023,GISAID; GenBank,EPI_ISL_17535299,OQ862076.1,2023-04-07,Clark County
USA/WA-CDC-LC1024873/2023,GISAID; GenBank,EPI_ISL_17236706,OQ642439.1,2023-02-27,Clark County
USA/WA-S24413/2023,GISAID; GenBank,EPI_ISL_18720355,PP082290.1,2023-10-29,Clark County
USA/WA-S22868/2023,GISAID; GenBank,EPI_ISL_17395226,OQ738418.1,2023-01-12,Clark County
USA/WA-S23645/2023,GISAID; GenBank,EPI_ISL_17977366,OR250879.1,2023-05-23,Clark County
USA/WA-S23657/2023,GISAID; GenBank,EPI_ISL_17977378,OR250888.1,2023-05-29,Clark County
USA/WA-S25156/2024,GISAID; GenBank,EPI_ISL_19032510,PP702525.1,2024-02-24,Clark County
USA/WA-CDC-QDX46179460/2023,GISAID; GenBank,EPI_ISL_16906755,OQ425764.1,2023-01-26,Clark County
USA/WA-CDC-LC1017717/2023,GISAID; GenBank,EPI_ISL_17224179,OQ631394.1,2023-02-16,Clark County
USA/WA-S24604/2023,GISAID; GenBank,EPI_ISL_18879269,PP319525.1,2023-12-08,Clark County
USA/WA-CDC-QDX93409257/2024,GISAID; GenBank,EPI_ISL_18978629,PP470372.1,2024-02-24,Clark County
USA/WA-S24277/2023,GISAID; GenBank,EPI_ISL_18720222,PP082156.1,2023-09-12,Clark County
USA/WA-CDC-LC0989471/2023,GISAID; GenBank,EPI_ISL_16665114,OQ294477.1,2023-01-06,Clark County
USA/WA-CDC-QDX85770746/2023,GISAID; GenBank,EPI_ISL_18379606,OR662415.1,2023-09-28,Clark County
USA/WA-CDC-LC0995665/2023,GISAID; GenBank,EPI_ISL_16742149,OQ353481.1,2023-01-16,Clark County
USA/WA-CDC-QDX47214588/2023,GISAID; GenBank,EPI_ISL_17191782,OQ610246.1,2023-02-24,Clark County
USA/WA-CDC-QDX21222669/2024,,,,2024-07-22,Clark County
USA/WA-CDC-QDX85699050/2023,GISAID; GenBank,EPI_ISL_18369401,OR649722.1,2023-09-25,Clark County
USA/WA-CDC-QDX47214585/2023,GISAID; GenBank,EPI_ISL_17191828,OQ610292.1,2023-02-24,Clark County
USA/WA-CDC-UW23031446721/2023,GISAID; GenBank,EPI_ISL_17322234,OQ704408.1,2023-03-14,Clark County
USA/WA-S23646/2023,GISAID; GenBank,EPI_ISL_17977367,OR250880.1,2023-05-23,Clark County
USA/WA-S24150/2023,GISAID; GenBank,EPI_ISL_18615685,OR948716.1,2023-09-28,Clark County
USA/WA-S24343/2023,GISAID; GenBank,EPI_ISL_18720287,PP082222.1,2023-09-23,Clark County
USA/WA-CDC-QDX45962549/2023,GISAID; GenBank,EPI_ISL_16892020,OQ419480.1,2023-01-21,Clark County
USA/WA-CDC-QDX84610953/2023,GISAID; GenBank,EPI_ISL_18276230,OR564818.1,2023-08-30,Clark County
USA/WA-CDC-QDX85991806/2023,GISAID; GenBank,EPI_ISL_18404319,OR686728.1,2023-10-04,Clark County
USA/WA-CDC-QDX47043320/2023,GISAID; GenBank,EPI_ISL_17147166,OQ583272.1,2023-02-17,Clark County
USA/WA-S23574/2023,GISAID; GenBank,EPI_ISL_17977296,OR250819.1,2023-04-20,Clark County
USA/WA-CDC-LC0994931/2023,GISAID; GenBank,EPI_ISL_16741974,OQ353306.1,2023-01-12,Clark County
USA/WA-CDC-QDX85699044/2023,GISAID; GenBank,EPI_ISL_18369440,OR649761.1,2023-09-25,Clark County
USA/WA-S24660/2023,GISAID; GenBank,EPI_ISL_18879322,PP319581.1,2023-12-26,Clark County
USA/WA-CDC-QDX45530360/2023,GISAID; GenBank,EPI_ISL_16707274,OQ342585.1,2023-01-10,Clark County
USA/WA-S23689/2023,GISAID; GenBank,EPI_ISL_18187697,OR509397.1,2023-06-24,Clark County
USA/WA-CDC-QDX84008681/2023,,,,2023-08-08,Clark County
USA/WA-CDC-QDX45530356/2023,GISAID; GenBank,EPI_ISL_16707118,OQ342429.1,2023-01-10,Clark County
USA/WA-CDC-LC0994390/2023,GISAID; GenBank,EPI_ISL_16741795,OQ353171.1,2023-01-10,Clark County
USA/WA-CDC-QDX46179462/2023,GISAID; GenBank,EPI_ISL_16906763,OQ425772.1,2023-01-26,Clark County
USA/WA-CDC-LC0994437/2023,GISAID; GenBank,EPI_ISL_16741767,OQ353143.1,2023-01-10,Clark County
USA/WA-CDC-QDX45530357/2023,GISAID; GenBank,EPI_ISL_16706990,OQ342301.1,2023-01-09,Clark County
USA/WA-S22952/2023,GISAID,EPI_ISL_17395309,,2023-01-07,Clark County
USA/WA-S23710/2023,GISAID; GenBank,EPI_ISL_18187718,OR509418.1,2023-07-03,Clark County
USA/WA-CDC-LC1042562/2023,GISAID; GenBank,EPI_ISL_17853232,OR037819.1,2023-05-08,Clark County
USA/WA-CDC-QDX87048266/2023,GISAID; GenBank,EPI_ISL_18534651,OR817468.1,2023-10-28,Cowlitz County
USA/WA-CDC-QDX46992405/2023,GISAID; GenBank,EPI_ISL_17135349,OQ578003.1,2023-02-15,Cowlitz County
USA/WA-CDC-LC0989596/2023,GISAID; GenBank,EPI_ISL_16665115,OQ294478.1,2023-01-06,Cowlitz County
USA/WA-CDC-UW23090692742/2023,GISAID; GenBank,EPI_ISL_18291134,OR578454.1,2023-09-06,Cowlitz County
USA/WA-CDC-QDX86946105/2023,GISAID; GenBank,EPI_ISL_18534259,OR817304.1,2023-10-27,Cowlitz County
USA/WA-PHL-032712/2023,GISAID; GenBank,EPI_ISL_17258745,PQ385978.1,2023-02-07,Cowlitz County
USA/WA-CDC-QDX80414788/2023,GISAID; GenBank,EPI_ISL_17852574,OR075729.1,2023-05-12,Cowlitz County
USA/WA-PHL-032492/2023,GISAID; GenBank,EPI_ISL_17012797,PQ372465.1,2023-01-24,Cowlitz County
USA/WA-CDC-QDX85699046/2023,GISAID; GenBank,EPI_ISL_18369488,OR649809.1,2023-09-25,Cowlitz County
USA/WA-CDC-QDX47214597/2023,GISAID; GenBank,EPI_ISL_17191702,OQ610167.1,2023-02-24,Cowlitz County
USA/WA-CDC-QDX80414789/2023,GISAID; GenBank,EPI_ISL_17852547,OR075702.1,2023-05-12,Cowlitz County
USA/WA-CDC-QDX20961805/2024,,,,2024-07-17,Cowlitz County
USA/WA-CDC-QDX45530379/2023,GISAID; GenBank,EPI_ISL_16707368,OQ342679.1,2023-01-11,Cowlitz County
USA/WA-CDC-QDX45530341/2023,GISAID; GenBank,EPI_ISL_16706922,OQ342233.1,2023-01-08,Cowlitz County
USA/WA-CDC-QDX45789754/2023,GISAID; GenBank,EPI_ISL_16823689,OQ380103.1,2023-01-16,Cowlitz County
USA/WA-CDC-QDX85699048/2023,GISAID; GenBank,EPI_ISL_18369501,OR649822.1,2023-09-25,Cowlitz County
USA/WA-PHL-032521/2023,GISAID; GenBank,EPI_ISL_17012825,PQ372494.1,2023-01-31,Cowlitz County
USA/WA-CDC-QDX87748135/2023,GISAID; GenBank,EPI_ISL_18592625,OR897424.1,2023-11-13,Cowlitz County
USA/WA-CDC-QDX46448166/2023,GISAID; GenBank,EPI_ISL_16962237,OQ451970.1,2023-02-01,Cowlitz County
USA/WA-PHL-032296/2023,GISAID,EPI_ISL_16755959,,2023-01-17,Cowlitz County
USA/WA-CDC-QDX85770756/2023,GISAID; GenBank,EPI_ISL_18379800,OR662609.1,2023-09-30,Cowlitz County
USA/WA-PHL-032034/2023,GISAID; GenBank,EPI_ISL_16710761,OQ836031.1,2023-01-03,Cowlitz County
USA/WA-PHL-032857/2023,GISAID; GenBank,EPI_ISL_17258746,PQ386085.1,2023-02-14,Cowlitz County
USA/WA-CDC-QDX86906380/2023,GISAID; GenBank,EPI_ISL_18533972,OR817020.1,2023-10-23,Cowlitz County
USA/WA-PHL-032491/2023,GISAID; GenBank,EPI_ISL_17012796,PQ372464.1,2023-01-24,Cowlitz County
USA/WA-CDC-LC1010275/2023,GISAID; GenBank,EPI_ISL_17019538,OQ510460.1,2023-02-08,Cowlitz County
USA/WA-PHL-032523/2023,GISAID; GenBank,EPI_ISL_17012827,PQ372496.1,2023-01-31,Cowlitz County
USA/WA-CDC-QDX47145270/2023,GISAID; GenBank,EPI_ISL_17147392,OQ583462.1,2023-02-20,Cowlitz County
USA/WA-CDC-QDX86906379/2023,GISAID; GenBank,EPI_ISL_18533897,OR816946.1,2023-10-22,Cowlitz County
USA/WA-PHL-032995/2023,GISAID; GenBank,EPI_ISL_17258747,PQ386181.1,2023-03-07,Cowlitz County
USA/WA-CDC-QDX47145271/2023,GISAID; GenBank,EPI_ISL_17147410,OQ583480.1,2023-02-20,Cowlitz County
USA/WA-PHL-033538/2023,GISAID; GenBank,EPI_ISL_17998751,PQ372865.1,2023-06-15,Cowlitz County
USA/WA-PHL-032522/2023,GISAID; GenBank,EPI_ISL_17012826,PQ372495.1,2023-01-31,Cowlitz County
USA/WA-CDC-QDX47362055/2023,GISAID; GenBank,EPI_ISL_17237741,OQ643321.1,2023-02-27,Cowlitz County
USA/WA-PHL-033537/2023,GISAID; GenBank,EPI_ISL_17998750,PQ372864.1,2023-06-07,Cowlitz County
USA/WA-CDC-LC0994345/2023,GISAID; GenBank,EPI_ISL_16741737,OQ353113.1,2023-01-09,Cowlitz County
USA/WA-CDC-QDX47145269/2023,GISAID; GenBank,EPI_ISL_17147524,OQ583594.1,2023-02-20,Cowlitz County
USA/WA-CDC-QDX45789749/2023,GISAID; GenBank,EPI_ISL_16823673,OQ380087.1,2023-01-16,Cowlitz County
USA/WA-CDC-QDX90257528/2023,,,,2023-12-11,Cowlitz County
USA/WA-PHL-032525/2023,GISAID; GenBank,EPI_ISL_17012829,PQ372498.1,2023-01-31,Cowlitz County
USA/WA-CDC-QDX45789748/2023,GISAID; GenBank,EPI_ISL_16823627,OQ380041.1,2023-01-16,Cowlitz County
USA/WA-PHL-033884/2023,,,,2023-01-24,Cowlitz County
USA/WA-CDC-QDX87530129/2023,GISAID; GenBank,EPI_ISL_18547884,OR858267.1,2023-11-08,Cowlitz County
USA/WA-PHL-032713/2023,GISAID; GenBank,EPI_ISL_17012982,PQ372659.1,2023-02-07,Cowlitz County
USA/WA-CDC-QDX46611930/2023,GISAID; GenBank,EPI_ISL_17009079,OQ505269.1,2023-02-06,Cowlitz County
USA/WA-PHL-032298/2023,GISAID; GenBank,EPI_ISL_16755961,PQ372296.1,2023-01-17,Cowlitz County
USA/WA-PHL-034640/2023,GISAID; GenBank,EPI_ISL_18074186,PQ372910.1,2023-01-17,Cowlitz County
USA/WA-CDC-QDX81286107/2023,GISAID; GenBank,EPI_ISL_17856503,OR143641.1,2023-06-05,Cowlitz County
USA/WA-CDC-LC1087581/2024,GISAID; GenBank,EPI_ISL_18827642,PP189420.1,2024-01-08,Cowlitz County
USA/WA-CDC-LC1036441/2023,GISAID; GenBank,EPI_ISL_17524047,OQ852092.1,2023-04-01,Cowlitz County
USA/WA-CDC-LC1021984/2023,GISAID; GenBank,EPI_ISL_17197262,OQ614594.1,2023-02-24,Cowlitz County
USA/WA-CDC-QDX86356467/2023,GISAID; GenBank,EPI_ISL_18532850,OR813602.1,2023-10-13,Cowlitz County
USA/WA-CDC-QDX46448208/2023,GISAID; GenBank,EPI_ISL_16962825,OQ452558.1,2023-02-04,Cowlitz County
USA/WA-CDC-LC1044052/2023,GISAID; GenBank,EPI_ISL_17854221,OR131571.1,2023-06-05,Cowlitz County
USA/WA-CDC-UW23012577138/2023,GISAID; GenBank,EPI_ISL_16849344,OQ403130.1,2023-01-25,Douglas County
USA/WA-UW-23012531207/2023,GISAID; GenBank,EPI_ISL_17579793,OQ443032.1,2023-01-25,Douglas County
USA/WA-UW-23020304893/2023,GISAID; GenBank,EPI_ISL_17579896,OQ429418.1,2023-02-03,Douglas County
USA/WA-CDC-LC1033772/2023,GISAID; GenBank,EPI_ISL_17411719,OQ748287.1,2023-03-21,Douglas County
USA/WA-PHL-032505/2023,GISAID; GenBank,EPI_ISL_17012810,PQ372478.1,2023-01-09,Douglas County
USA/WA-PHL-032506/2023,GISAID; GenBank,EPI_ISL_17012811,PQ372479.1,2023-01-12,Douglas County
USA/WA-PHL-032507/2023,GISAID; GenBank,EPI_ISL_17012812,PQ372480.1,2023-01-13,Douglas County
USA/WA-CDC-LC1028317/2023,GISAID; GenBank,EPI_ISL_17278767,OQ681578.1,2023-03-06,Franklin County
USA/WA-CDC-LC1123986/2024,GISAID; GenBank,EPI_ISL_19500012,PQ496224.1,2024-10-01,Franklin County
USA/WA-HLX-VSX-A240441/2023,GISAID,EPI_ISL_18296579,,2023-08-28,Franklin County
USA/WA-CDC-UW23080402330/2023,GISAID; GenBank,EPI_ISL_18104060,OR439391.1,2023-08-04,Franklin County
USA/WA-CDC-LC1073914/2023,GISAID; GenBank,EPI_ISL_18621367,OR952155.1,2023-11-28,Franklin County
USA/WA-CDC-LC1046661/2023,GISAID; GenBank,EPI_ISL_18055467,OR365944.1,2023-07-09,Franklin County
USA/WA-CDC-QDX47312326/2023,GISAID; GenBank,EPI_ISL_17237627,OQ643207.1,2023-02-23,Franklin County
USA/WA-CDC-LC1112379/2024,GISAID; GenBank,EPI_ISL_19346851,PQ207143.1,2024-07-25,Franklin County
USA/WA-CDC-LC1115203/2024,GISAID; GenBank,EPI_ISL_19362143,PQ237396.1,2024-08-13,Franklin County
USA/WA-CDC-LC1010692/2023,GISAID; GenBank,EPI_ISL_17019347,OQ510294.1,2023-02-06,Franklin County
USA/WA-HLX-VSX-A240203/2023,GISAID,EPI_ISL_18296917,,2023-07-26,Franklin County
USA/WA-CDC-LC1021579/2023,GISAID; GenBank,EPI_ISL_17196628,OQ613960.1,2023-02-18,Franklin County
USA/WA-CDC-LC1134456/2025,,,,2025-02-17,Franklin County
USA/WA-CDC-LC1021587/2023,GISAID; GenBank,EPI_ISL_17196761,OQ614093.1,2023-02-20,Franklin County
USA/WA-CDC-LC0995001/2023,GISAID; GenBank,EPI_ISL_16741769,OQ353145.1,2023-01-10,Franklin County
USA/WA-CDC-LC1033761/2023,GISAID; GenBank,EPI_ISL_17411722,OQ748290.1,2023-03-21,Franklin County
USA/WA-CDC-LC1049516/2023,GISAID; GenBank,EPI_ISL_18121202,OR465193.1,2023-08-03,Franklin County
USA/WA-CDC-LC1033272/2023,GISAID; GenBank,EPI_ISL_17393312,OQ733710.1,2023-03-17,Franklin County
USA/WA-CDC-LC1119120/2024,GISAID; GenBank,EPI_ISL_19419531,PQ333303.1,2024-08-27,Franklin County
USA/WA-HLX-VSX-A240201/2023,GISAID,EPI_ISL_18296914,,2023-07-26,Franklin County
USA/WA-CDC-LC1049706/2023,GISAID; GenBank,EPI_ISL_18121222,OR465213.1,2023-08-04,Franklin County
USA/WA-CDC-LC1035167/2023,GISAID; GenBank,EPI_ISL_17465442,OQ808263.1,2023-03-24,Franklin County
USA/WA-CDC-LC1008226/2023,GISAID; GenBank,EPI_ISL_16957537,OQ449797.1,2023-02-03,Franklin County
USA/WA-CDC-LC1056610/2023,GISAID; GenBank,EPI_ISL_18267734,OR559609.1,2023-08-30,Franklin County
USA/WA-CDC-QDX45530369/2023,GISAID; GenBank,EPI_ISL_16707377,OQ342688.1,2023-01-11,Grant County
USA/WA-PHL-033191/2023,,,,2023-05-15,Grant County
USA/WA-CDC-VSX-A250667/2024,GISAID; GenBank,EPI_ISL_18859137,PP267735.1,2024-01-12,Grant County
USA/WA-CDC-QDX45962550/2023,GISAID; GenBank,EPI_ISL_16891992,OQ419452.1,2023-01-21,Grant County
USA/WA-CDC-QDX45962551/2023,GISAID; GenBank,EPI_ISL_16891996,OQ419456.1,2023-01-21,Grant County
USA/WA-CDC-LC1024536/2023,GISAID; GenBank,EPI_ISL_17236606,OQ642355.1,2023-02-24,Grant County
USA/WA-PHL-035177/2024,GISAID; GenBank,EPI_ISL_18856568,PQ143045.1,2024-01-08,Grays Harbor County
USA/WA-PHL-032518/2023,GISAID; GenBank,EPI_ISL_17012822,PQ372491.1,2023-01-27,Grays Harbor County
USA/WA-PHL-034863/2023,GISAID; GenBank,EPI_ISL_18384266,OR680191.1,2023-09-05,Grays Harbor County
USA/WA-PHL-032493/2023,GISAID; GenBank,EPI_ISL_17012798,PQ372466.1,2023-01-24,Grays Harbor County
USA/WA-PHL-032873/2023,GISAID; GenBank,EPI_ISL_17258769,PQ386101.1,2023-02-21,Grays Harbor County
USA/WA-PHL-033038/2023,GISAID; GenBank,EPI_ISL_17637226,PQ372735.1,2023-03-13,Grays Harbor County
USA/WA-PHL-034870/2023,GISAID; GenBank,EPI_ISL_18384272,OR680197.1,2023-09-07,Grays Harbor County
USA/WA-PHL-032871/2023,GISAID; GenBank,EPI_ISL_17258767,PQ386099.1,2023-02-21,Grays Harbor County
USA/WA-PHL-032711/2023,GISAID; GenBank,EPI_ISL_17258748,PQ385977.1,2023-02-06,Grays Harbor County
USA/WA-PHL-034862/2023,GISAID; GenBank,EPI_ISL_18384265,OR680190.1,2023-09-05,Grays Harbor County
USA/WA-CDC-QDX92781046/2024,GISAID; GenBank,EPI_ISL_18956584,PP415055.1,2024-02-12,Grays Harbor County
USA/WA-PHL-033044/2023,GISAID; GenBank,EPI_ISL_17509708,PQ372740.1,2023-03-14,Grays Harbor County
USA/WA-PHL-034717/2023,GISAID; GenBank,EPI_ISL_18102636,PQ403579.1,2023-08-07,Grays Harbor County
USA/WA-PHL-034885/2023,GISAID; GenBank,EPI_ISL_18384285,OR680211.1,2023-09-14,Grays Harbor County
USA/WA-PHL-033036/2023,GISAID; GenBank,EPI_ISL_17509702,PQ372733.1,2023-03-13,Grays Harbor County
USA/WA-CDC-UW23110382823/2023,GISAID; GenBank,EPI_ISL_18528528,OR832370.1,2023-11-03,Grays Harbor County
USA/WA-PHL-033106/2023,GISAID; GenBank,EPI_ISL_17509761,PQ372793.1,2023-04-06,Grays Harbor County
USA/WA-PHL-035209/2024,GISAID; GenBank,EPI_ISL_19122235,PP845889.1,2024-01-22,Grays Harbor County
USA/WA-PHL-032874/2023,GISAID; GenBank,EPI_ISL_17258770,PQ386102.1,2023-02-21,Grays Harbor County
USA/WA-PHL-034878/2023,GISAID; GenBank,EPI_ISL_18384280,OR680205.1,2023-09-12,Grays Harbor County
USA/WA-PHL-032886/2023,GISAID; GenBank,EPI_ISL_17509638,PQ372681.1,2023-02-24,Grays Harbor County
USA/WA-PHL-032714/2023,GISAID; GenBank,EPI_ISL_17012983,PQ372660.1,2023-02-08,Grays Harbor County
USA/WA-PHL-034879/2023,GISAID; GenBank,EPI_ISL_18384281,OR680206.1,2023-09-12,Grays Harbor County
USA/WA-PHL-034891/2023,GISAID; GenBank,EPI_ISL_18384291,OR680217.1,2023-09-18,Grays Harbor County
USA/WA-PHL-034847/2023,GISAID; GenBank,EPI_ISL_18384252,OR680176.1,2023-08-21,Grays Harbor County
USA/WA-PHL-034575/2023,GISAID; GenBank,EPI_ISL_18055087,PQ403507.1,2023-07-11,Grays Harbor County
USA/WA-PHL-034851/2023,GISAID; GenBank,EPI_ISL_18384256,OR680180.1,2023-08-31,Grays Harbor County
USA/WA-PHL-033035/2023,GISAID; GenBank,EPI_ISL_17509701,PQ372732.1,2023-03-13,Grays Harbor County
USA/WA-PHL-032859/2023,GISAID; GenBank,EPI_ISL_17258757,PQ386087.1,2023-02-16,Grays Harbor County
USA/WA-CDC-QDX47214563/2023,GISAID; GenBank,EPI_ISL_17191202,OQ609708.1,2023-02-22,Grays Harbor County
USA/WA-PHL-034910/2023,GISAID; GenBank,EPI_ISL_18384309,OR680236.1,2023-09-28,Grays Harbor County
USA/WA-PHL-033049/2023,GISAID; GenBank,EPI_ISL_17509713,PQ372745.1,2023-03-16,Grays Harbor County
USA/WA-PHL-035272/2024,GISAID; GenBank,EPI_ISL_19122252,PP845906.1,2024-01-24,Grays Harbor County
USA/WA-PHL-034892/2023,GISAID; GenBank,EPI_ISL_18384292,OR680218.1,2023-09-18,Grays Harbor County
USA/WA-PHL-032489/2023,GISAID; GenBank,EPI_ISL_17012794,PQ372462.1,2023-01-20,Grays Harbor County
USA/WA-PHL-034861/2023,GISAID; GenBank,EPI_ISL_18384264,OR680189.1,2023-09-05,Grays Harbor County
USA/WA-PHL-034595/2023,GISAID; GenBank,EPI_ISL_18055102,PQ403527.1,2023-07-19,Grays Harbor County
USA/WA-PHL-034592/2023,GISAID; GenBank,EPI_ISL_18055099,PQ403524.1,2023-07-19,Grays Harbor County
USA/WA-PHL-034775/2023,GISAID; GenBank,EPI_ISL_18168742,OR505913.1,2023-08-18,Grays Harbor County
USA/WA-PHL-033040/2023,GISAID; GenBank,EPI_ISL_17509705,PQ372737.1,2023-03-14,Grays Harbor County
USA/WA-PHL-032970/2023,GISAID; GenBank,EPI_ISL_17258778,PQ386158.1,2023-02-28,Grays Harbor County
USA/WA-PHL-034706/2023,GISAID; GenBank,EPI_ISL_18102629,PQ403568.1,2023-08-07,Grays Harbor County
USA/WA-PHL-032036/2023,GISAID; GenBank,EPI_ISL_16710763,OQ836033.1,2023-01-03,Grays Harbor County
USA/WA-PHL-032865/2023,GISAID; GenBank,EPI_ISL_17258761,PQ386093.1,2023-02-17,Grays Harbor County
USA/WA-PHL-034716/2023,GISAID; GenBank,EPI_ISL_18102635,PQ403578.1,2023-08-08,Grays Harbor County
USA/WA-PHL-032869/2023,GISAID; GenBank,EPI_ISL_17258765,PQ386097.1,2023-02-21,Grays Harbor County
USA/WA-PHL-035131/2023,GISAID; GenBank,EPI_ISL_18703947,PQ385939.1,2023-12-13,Grays Harbor County
USA/WA-PHL-032224/2023,GISAID; GenBank,EPI_ISL_16756113,PQ372230.1,2023-01-11,Grays Harbor County
USA/WA-PHL-032856/2023,GISAID; GenBank,EPI_ISL_17258755,PQ386084.1,2023-02-13,Grays Harbor County
