# [DO NOT EDIT] This file was generated by scripts/developer_scripts/get_population_weights
# Based on 2023 population estimates from the United Nations World Population Prospects
country	weight
Afghanistan	41454
Albania	2811
Algeria	46164
American Samoa	47
Andorra	80
Angola	36749
Anguilla	14
Antigua and Barbuda	93
Argentina	45538
Armenia	2943
Aruba	107
Australia	26451
Austria	9130
Azerbaijan	10318
Bahamas	399
Bahrain	1569
Bangladesh	171466
Barbados	282
Belarus	9115
Belgium	11712
Belize	411
Benin	14111
Bermuda	64
Bhutan	786
Bolivia	12244
Bonaire	29
Bosnia and Herzegovina	3185
Botswana	2480
Brazil	211140
British Virgin Islands	38
Brunei	458
Bulgaria	6795
Burkina Faso	23025
Burundi	13689
Cabo Verde	522
Cambodia	17423
Cameroon	28372
Canada	39299
Cayman Islands	73
Central African Republic	5152
Chad	19319
Chile	19658
China	1422584
Hong Kong	7442
Macao	713
Taiwan	23317
Colombia	52321
Union of the Comoros	850
Republic of the Congo	6182
Cook Islands	14
Costa Rica	5105
Croatia	3896
Cuba	11019
Curacao	185
Cyprus	1344
Czech Republic	10809
Côte d'Ivoire	31165
Dem. People's Republic of Korea	26418
Democratic Republic of the Congo	105789
Denmark	5948
Djibouti	1152
Dominica	66
Dominican Republic	11331
Ecuador	17980
Egypt	114535
El Salvador	6309
Equatorial Guinea	1847
Eritrea	3470
Estonia	1367
Eswatini	1230
Ethiopia	128691
Falkland Islands (Malvinas)	3
Faroe Islands	54
Fiji	924
Finland	5601
France	66438
French Guiana	303
French Polynesia	281
Gabon	2484
Gambia	2697
Georgia	3807
Germany	84548
Ghana	33787
Gibraltar	38
Greece	10242
Greenland	55
Grenada	117
Guadeloupe	376
Guam	166
Guatemala	18124
Guernsey	64
Guinea	14405
Guinea-Bissau	2153
Guyana	826
Haiti	11637
Holy See	0
Honduras	10644
Hungary	9686
Iceland	387
India	1438069
Indonesia	281190
Iran	90608
Iraq	45074
Ireland	5196
Isle of Man	84
Israel	9256
Italy	59499
Jamaica	2839
Japan	124370
Jersey	103
Jordan	11439
Kazakhstan	20330
Kenya	55339
Kiribati	132
Kosovo	1700
Kuwait	4838
Kyrgyzstan	7073
Laos	7664
Latvia	1882
Lebanon	5773
Lesotho	2311
Liberia	5493
Libya	7305
Liechtenstein	39
Lithuania	2854
Luxembourg	665
Madagascar	31195
Malawi	21104
Malaysia	35126
Maldives	525
Mali	23769
Malta	532
Marshall Islands	38
Martinique	346
Mauritania	5022
Mauritius	1273
Mayotte	316
Mexico	129739
Micronesia	112
Monaco	38
Mongolia	3431
Montenegro	633
Montserrat	4
Morocco	37712
Mozambique	33635
Myanmar	54133
Namibia	2963
Nauru	11
Nepal	29694
Netherlands	18092
New Caledonia	289
New Zealand	5172
Nicaragua	6823
Niger	26159
Nigeria	227882
Niue	1
North Macedonia	1831
Northern Mariana Islands	45
Norway	5519
Oman	5049
Pakistan	247504
Palau	17
Panama	4458
Papua New Guinea	10389
Paraguay	6844
Peru	33845
Philippines	114891
Poland	38762
Portugal	10430
Puerto Rico	3242
Qatar	2979
South Korea	51748
Moldova	3067
Romania	19118
Russia	145440
Rwanda	13954
Réunion	874
Saint Barthélemy	11
Saint Helena	5
Saint Kitts and Nevis	46
Saint Lucia	179
Saint Martin	27
Saint Pierre and Miquelon	5
Saint Vincent and the Grenadines	101
Samoa	216
San Marino	33
Sao Tome and Principe	230
Saudi Arabia	33264
Senegal	18077
Serbia	6773
Seychelles	127
Sierra Leone	8460
Singapore	5789
Sint Maarten	42
Slovakia	5518
Slovenia	2118
Solomon Islands	800
Somalia	18358
South Africa	63212
South Sudan	11483
Spain	47911
Sri Lanka	22971
Palestine	5409
Sudan	50042
Suriname	628
Sweden	10551
Switzerland	8870
Syria	23594
Tajikistan	10389
Thailand	71702
Timor-Leste	1384
Togo	9304
Tokelau	2
Tonga	104
Trinidad and Tobago	1502
Tunisia	12200
Turkmenistan	7364
Turks and Caicos Islands	46
Tuvalu	9
Turkey	87270
Uganda	48656
Ukraine	37732
United Arab Emirates	10642
United Kingdom	68682
Tanzania	66617
United States Virgin Islands	85
USA	343477
Uruguay	3388
Uzbekistan	35652
Vanuatu	320
Venezuela	28300
Vietnam	100352
Wallis and Futuna Islands	11
Western Sahara	579
Yemen	39390
Zambia	20723
Zimbabwe	16340
